Sex,State,Country of origin,count
women,WA,from Ireland,6590
women,WA,from Italy,9353
women,WA,from Japan,2484
women,WA,from South Korea,2157
women,WA,from Lebanon,477
women,WA,from Malaysia,13559
women,WA,from Malta,454
women,WA,from Netherlands,4945
women,WA,from New Zealand,32691
women,WA,from Philippines,9908
women,WA,from Poland,3091
women,WA,from Singapore,7629
women,WA,from South Africa,17864
women,WA,from South Eastern Europe,973
women,WA,from Sri Lanka,2458
women,WA,from Thailand,4075
women,WA,from Turkey,447
women,WA,from Britain,114681
women,WA,from United States of America,4236
women,WA,from Vietnam,6825
women,WA,from somewhere else,49655
women,WA,from Country of birth not stated,63660
men,Tas,from Australia,202453
men,Tas,from Bosnia and Herzegovina,55
men,Tas,from Cambodia,4
men,Tas,from Canada,352
men,Tas,from China,836
men,Tas,from Croatia,163
men,Tas,from Egypt,61
men,Tas,from Fiji,115
men,Tas,from Former Yugoslav Republic of Macedonia ,14
men,Tas,from Germany,1066
men,Tas,from Greece,259
men,Tas,from Hong Kong,158
men,Tas,from India,772
men,Tas,from Indonesia,101
men,Tas,from Iraq,33
men,Tas,from Ireland,332
men,Tas,from Italy,555
men,Tas,from Japan,112
men,Tas,from South Korea,296
men,Tas,from Lebanon,43
men,Tas,from Malaysia,572
men,Tas,from Malta,65
men,Tas,from Netherlands,1218
men,Tas,from New Zealand,2471
men,Tas,from Philippines,271
men,Tas,from Poland,286
men,Tas,from Singapore,190
men,Tas,from South Africa,723
men,Tas,from South Eastern Europe,106
men,Tas,from Sri Lanka,137
men,Tas,from Thailand,148
men,Tas,from Turkey,42
men,Tas,from Britain,11817
men,Tas,from United States of America,721
men,Tas,from Vietnam,129
men,Tas,from somewhere else,4092
men,Tas,from Country of birth not stated,11908
women,Tas,from Australia,211809
women,Tas,from Bosnia and Herzegovina,55
women,Tas,from Cambodia,13
women,Tas,from Canada,395
women,Tas,from China,1078
women,Tas,from Croatia,116
women,Tas,from Egypt,52
women,Tas,from Fiji,160
women,Tas,from Former Yugoslav Republic of Macedonia ,8
women,Tas,from Germany,1126
women,Tas,from Greece,217
women,Tas,from Hong Kong,172
women,Tas,from India,696
women,Tas,from Indonesia,141
women,Tas,from Iraq,28
women,Tas,from Ireland,330
women,Tas,from Italy,411
women,Tas,from Japan,227
women,Tas,from South Korea,331
women,Tas,from Lebanon,27
women,Tas,from Malaysia,634
women,Tas,from Malta,47
women,Tas,from Netherlands,1160
women,Tas,from New Zealand,2456
women,Tas,from Philippines,997
women,Tas,from Poland,374
women,Tas,from Singapore,257
women,Tas,from South Africa,791
women,Tas,from South Eastern Europe,69
women,Tas,from Sri Lanka,155
women,Tas,from Thailand,326
women,Tas,from Turkey,32
women,Tas,from Britain,11463
women,Tas,from United States of America,739
women,Tas,from Vietnam,138
women,Tas,from somewhere else,4120
women,Tas,from Country of birth not stated,11530
men,NT,from Australia,81339
men,NT,from Bosnia and Herzegovina,21
men,NT,from Cambodia,58
men,NT,from Canada,165
men,NT,from China,355
men,NT,from Croatia,35
men,NT,from Egypt,34
men,NT,from Fiji,137
men,NT,from Former Yugoslav Republic of Macedonia ,17
men,NT,from Germany,475
men,NT,from Greece,607
men,NT,from Hong Kong,103
men,NT,from India,1053
men,NT,from Indonesia,415
men,NT,from Iraq,79
men,NT,from Ireland,343
men,NT,from Italy,257
men,NT,from Japan,44
men,NT,from South Korea,143
men,NT,from Lebanon,39
men,NT,from Malaysia,284
men,NT,from Malta,30
men,NT,from Netherlands,246
men,NT,from New Zealand,2096
men,NT,from Philippines,1420
men,NT,from Poland,54
men,NT,from Singapore,97
men,NT,from South Africa,381
men,NT,from South Eastern Europe,36
men,NT,from Sri Lanka,246
men,NT,from Thailand,170
men,NT,from Turkey,26
men,NT,from Britain,3315
men,NT,from United States of America,576
men,NT,from Vietnam,325
men,NT,from somewhere else,3945
men,NT,from Country of birth not stated,10550
women,NT,from Australia,76691
women,NT,from Bosnia and Herzegovina,23
women,NT,from Cambodia,86
women,NT,from Canada,175
women,NT,from China,513
women,NT,from Croatia,15
women,NT,from Egypt,21
women,NT,from Fiji,149
women,NT,from Former Yugoslav Republic of Macedonia ,11
women,NT,from Germany,494
women,NT,from Greece,405
women,NT,from Hong Kong,124
women,NT,from India,866
women,NT,from Indonesia,586
women,NT,from Iraq,17
women,NT,from Ireland,283
women,NT,from Italy,188
women,NT,from Japan,125
women,NT,from South Korea,150
women,NT,from Lebanon,11
women,NT,from Malaysia,345
women,NT,from Malta,20
women,NT,from Netherlands,203
women,NT,from New Zealand,1873
women,NT,from Philippines,2165
women,NT,from Poland,47
women,NT,from Singapore,142
women,NT,from South Africa,371
women,NT,from South Eastern Europe,21
women,NT,from Sri Lanka,203
women,NT,from Thailand,559
women,NT,from Turkey,17
women,NT,from Britain,3109
women,NT,from United States of America,480
women,NT,from Vietnam,345
women,NT,from somewhere else,3410
women,NT,from Country of birth not stated,8184
men,ACT,from Australia,126433
men,ACT,from Bosnia and Herzegovina,166
men,ACT,from Cambodia,140
men,ACT,from Canada,501
men,ACT,from China,2914
men,ACT,from Croatia,726
men,ACT,from Egypt,179
men,ACT,from Fiji,368
men,ACT,from Former Yugoslav Republic of Macedonia ,193
men,ACT,from Germany,1078
men,ACT,from Greece,519
men,ACT,from Hong Kong,677
men,ACT,from India,3179
men,ACT,from Indonesia,417
men,ACT,from Iraq,183
men,ACT,from Ireland,460
men,ACT,from Italy,1059
men,ACT,from Japan,208
men,ACT,from South Korea,700
men,ACT,from Lebanon,197
men,ACT,from Malaysia,1018
men,ACT,from Malta,153
men,ACT,from Netherlands,539
men,ACT,from New Zealand,2251
men,ACT,from Philippines,901
men,ACT,from Poland,421
men,ACT,from Singapore,448
men,ACT,from South Africa,818
men,ACT,from South Eastern Europe,160
men,ACT,from Sri Lanka,1109
men,ACT,from Thailand,379
men,ACT,from Turkey,120
men,ACT,from Britain,8216
men,ACT,from United States of America,1158
men,ACT,from Vietnam,1351
men,ACT,from somewhere else,8900
men,ACT,from Country of birth not stated,8508
women,ACT,from Australia,128618
women,ACT,from Bosnia and Herzegovina,186
women,ACT,from Cambodia,189
women,ACT,from Canada,582
women,ACT,from China,3675
women,ACT,from Croatia,741
women,ACT,from Egypt,131
women,ACT,from Fiji,442
women,ACT,from Former Yugoslav Republic of Macedonia ,179
women,ACT,from Germany,1253
women,ACT,from Greece,541
women,ACT,from Hong Kong,713
women,ACT,from India,2706
women,ACT,from Indonesia,598
women,ACT,from Iraq,140
women,ACT,from Ireland,384
women,ACT,from Italy,976
women,ACT,from Japan,457
women,ACT,from South Korea,861
women,ACT,from Lebanon,188
women,ACT,from Malaysia,1189
women,ACT,from Malta,153
women,ACT,from Netherlands,581
women,ACT,from New Zealand,2138
women,ACT,from Philippines,1523
women,ACT,from Poland,602
women,ACT,from Singapore,470
women,ACT,from South Africa,814
women,ACT,from South Eastern Europe,188
women,ACT,from Sri Lanka,1158
women,ACT,from Thailand,668
women,ACT,from Turkey,95
women,ACT,from Britain,7896
women,ACT,from United States of America,1256
women,ACT,from Vietnam,1605
women,ACT,from somewhere else,9245
women,ACT,from Country of birth not stated,7334
men,other territories,from Australia,782
men,other territories,from Bosnia and Herzegovina,3
men,other territories,from Cambodia,0
men,other territories,from Canada,0
men,other territories,from China,3
men,other territories,from Croatia,0
men,other territories,from Egypt,0
men,other territories,from Fiji,0
men,other territories,from Former Yugoslav Republic of Macedonia ,0
men,other territories,from Germany,4
men,other territories,from Greece,0
men,other territories,from Hong Kong,0
men,other territories,from India,4
men,other territories,from Indonesia,5
men,other territories,from Iraq,93
men,other territories,from Ireland,0
men,other territories,from Italy,0
men,other territories,from Japan,3
men,other territories,from South Korea,0
men,other territories,from Lebanon,0
men,other territories,from Malaysia,221
men,other territories,from Malta,0
men,other territories,from Netherlands,0
men,other territories,from New Zealand,15
men,other territories,from Philippines,11
men,other territories,from Poland,3
men,other territories,from Singapore,36
men,other territories,from South Africa,3
men,other territories,from South Eastern Europe,0
