CES4245113001,55.8
CES4245114001,36.1
CES4245120001,150.0
CES4245200001,2948.2
CES4245210001,1580.3
CES4245211101,681.7
CES4245211201,896.9
CES4245290001,1367.9
CES4245291001,1050.1
CES4245299001,317.6
CES4245300001,890.2
CES4245310001,97.2
CES4245320001,387.7
CES4245321001,176.2
CES4245322001,210.9
CES4245330001,112.9
CES4245390001,293.8
CES4245391001,90.4
CES4245392001,23.9
CES4245393001,25.4
CES4245399001,154.7
CES4245400001,435.3
CES4245410001,242.8
CES4245411201,69.1
CES4245411301,171.8
CES4245420001,51.0
CES4245430001,141.7
CES4245431001,90.9
CES4245439001,50.8
CES4300000001,4404.3
CES4348100001,484.9
CES4348110001,441.0
CES4348120001,44.6
CES4348200001,226.1
CES4348300001,63.2
CES4348400001,1414.1
CES4348410001,989.3
CES4348411001,231.3
CES4348412001,757.7
CES4348412101,528.5
CES4348412201,228.8
CES4348420001,425.0
CES4348421001,102.8
CES4348422001,207.0
CES4348423001,115.1
CES4348500001,395.0
CES4348530001,67.9
CES4348531001,30.2
CES4348532001,37.6
CES4348540001,169.0
CES4348550001,93.0
CES4348590001,64.6
CES4348600001,37.7
CES4348700001,27.1
CES4348800001,560.6
CES4348810001,153.6
CES4348811001,67.0
CES4348830001,95.5
CES4348832001,43.7
CES4348839001,51.9
CES4348840001,80.6
CES4348841001,48.4
CES4348850001,177.8
CES4348890001,53.2
CES4349200001,579.7
CES4349210001,526.2
CES4349220001,49.6
CES4349300001,615.9
CES4349311001,520.3
CES4349312001,45.3
CES4349319001,50.3
CES4422000001,550.6
CES4422110001,398.1
CES4422111001,238.8
CES4422111201,134.9
CES4422111801,103.0
CES4422112001,159.6
CES4422112101,26.0
CES4422112201,133.4
CES4422120001,107.3
CES4422130001,45.0
CES5000000001,3054
CES5051100001,903.1
CES5051110001,663.1
CES5051111001,367.2
CES5051112001,142.4
CES5051113001,82.5
CES5051114001,43.8
CES5051119001,27.5
CES5051120001,240.0
CES5051200001,384.3
CES5051211001,201.5
CES5051213001,133.0
CES5051500001,327.5
CES5051510001,237.4
CES5051511001,110.3
CES5051512001,126.8
CES5051520001,90.2
CES5051700001,1056.3
CES5051710001,678.0
CES5051720001,193.3
CES5051790001,185.3
CES5051791101,129.4
CES5051800001,262.4
CES5051900001,120.2
CES5051913001,69.4
CES5051919001,50.7
CES5500000001,8289
CES5552000001,6130.7
CES5552100001,21.0
CES5552200001,2902.7
CES5552210001,1780.6
CES5552211001,1302.0
CES5552212001,239.7
CES5552219001,238.8
CES5552220001,780.3
CES5552221001,119.8
CES5552222001,107.5
CES5552229001,552.5
CES5552229101,116.4
CES5552229201,356.7
CES5552229801,79.4
CES5552230001,341.8
CES5552231001,147.3
CES5552232001,96.7
CES5552239001,98.3
CES5552300001,846.9
CES5552312001,298.4
CES5552320001,503.9
CES5552390001,343.0
CES5552391001,23.8
CES5552392001,147.6
CES5552393001,124.5
CES5552399001,46.7
CES5552400001,2360.1
CES5552410001,1460.1
CES5552411001,782.7
CES5552411301,354.1
CES5552411401,428.2
CES5552412001,648.6
CES5552412601,542.5
CES5552412801,106.8
CES5552413001,28.4
CES5552420001,901.3
CES5552421001,655.7
CES5552429001,245.3
CES5552429101,53.3
CES5552429201,141.7
CES5552429801,50.3
CES5553000001,2158.2
CES5553100001,1488.6
CES5553110001,604.7
CES5553111001,371.9
CES5553112001,150.1
CES5553113001,40.2
CES5553119001,42.4
CES5553120001,370.1
CES5553130001,513.3
CES5553131001,430.3
CES5553131101,306.9
CES5553131201,123.6
CES5553132001,42.0
CES5553139001,41.2
CES5553200001,641.9
CES5553210001,197.5
CES5553211001,137.1
CES5553212001,60.3
CES5553220001,268.4
CES5553223001,133.3
CES5553229001,135.9
CES5553229101,39.1
CES5553230001,60.4
CES5553240001,114.8
CES5553241001,61.9
CES5553249001,53.2
CES5553300001,27.7
CES6000000001,17256
CES6054000001,7173.2
CES6054110001,1169.3
CES6054111001,1074.3
CES6054119001,95.3
CES6054119101,79.0
CES6054120001,872.2
CES6054121101,390.4
CES6054121301,116.8
CES6054121401,140.1
CES6054121901,231.8
CES6054130001,1343.3
CES6054131001,199.2
CES6054132001,41.9
CES6054134001,862.4
CES6054137001,97.0
CES6054138001,142.1
CES6054140001,136.3
CES6054141001,41.4
CES6054143001,70.4
CES6054150001,1226.6
CES6054151101,537.1
CES6054151201,529.5
CES6054151301,56.0
CES6054151901,104.6
CES6054160001,855.6
CES6054161001,682.7
CES6054161101,317.9
CES6054161201,80.0
CES6054161301,122.0
CES6054161401,77.6
CES6054161801,85.1
CES6054162001,71.9
CES6054169001,100.6
CES6054170001,587.8
CES6054171001,523.9
CES6054171101,133.4
CES6054171201,390.6
CES6054172001,63.9
CES6054180001,449.8
CES6054181001,173.2
CES6054182001,47.0
CES6054184001,41.5
CES6054185001,32.7
CES6054186001,69.9
CES6054189001,85.5
CES6054190001,532.4
CES6054191001,108.4
CES6054192001,86.9
CES6054194001,271.5
CES6054199001,64.3
CES6055000001,1772.2
CES6055111201,94.2
CES6055111401,1680.2
CES6056000001,8310.6
CES6056100001,7969.3
CES6056110001,351.7
CES6056120001,123.5
CES6056130001,3692.9
