CES4348300001,66.1(P)
CES4348400001,1387.9(P)
CES4348410001,945.2(P)
CES4348411001,231.6(P)
CES4348412001,714.2(P)
CES4348412101,490.0(P)
CES4348412201,224.6(P)
CES4348420001,442.4(P)
CES4348421001,94.0(P)
CES4348422001,220.0(P)
CES4348423001,128.8(P)
CES4348500001,453.6(P)
CES4348530001,75.6(P)
CES4348531001,35.5(P)
CES4348532001,40.2(P)
CES4348540001,196.1(P)
CES4348550001,95.1(P)
CES4348590001,88.6(P)
CES4348600001,44.7(P)
CES4348700001,29.3(P)
CES4348800001,597.9(P)
CES4348810001,166.1(P)
CES4348811001,72.2(P)
CES4348830001,95.2(P)
CES4348832001,45.7(P)
CES4348839001,48.8(P)
CES4348840001,88.1(P)
CES4348841001,52.9(P)
CES4348850001,191.0(P)
CES4348890001,57.6(P)
CES4349200001,562.8(P)
CES4349210001,502.0(P)
CES4349220001,60.4(P)
CES4349300001,723.5(P)
CES4349311001,614.4(P)
CES4349312001,52.5(P)
CES4349319001,55.2(P)
CES4422000001,551.1(P)
CES4422110001,392.3(P)
CES4422111001,163.5(P)
CES4422111201,99.6(P)
CES4422111801,63.8(P)
CES4422112001,228.8(P)
CES4422112101,25.0(P)
CES4422112201,203.9(P)
CES4422120001,110.5(P)
CES4422130001,48.2(P)
CES5000000001,2679(P)
CES5051100001,730.9(P)
CES5051110001,432.4(P)
CES5051111001,213.7(P)
CES5051112001,106.3(P)
CES5051113001,68.1(P)
CES5051114001,26.8(P)
CES5051119001,17.8(P)
CES5051120001,298.0(P)
CES5051200001,335.5(P)
CES5051211001,179.3(P)
CES5051213001,133.1(P)
CES5051500001,286.1(P)
CES5051510001,213.2(P)
CES5051511001,91.4(P)
CES5051512001,121.7(P)
CES5051520001,73.2(P)
CES5051700001,857.6(P)
CES5051710001,609.2(P)
CES5051720001,156.7(P)
CES5051790001,91.7(P)
CES5051791101,58.3(P)
CES5051800001,269.8(P)
CES5051900001,198.8(P)
CES5051913001,145.3(P)
CES5051919001,53.5(P)
CES5500000001,7902(P)
CES5552000001,5882.2(P)
CES5552100001,18.2(P)
CES5552200001,2595.8(P)
CES5552210001,1714.0(P)
CES5552211001,1289.2(P)
CES5552212001,171.7(P)
CES5552219001,252.4(P)
CES5552220001,593.3(P)
CES5552221001,100.1(P)
CES5552222001,82.8(P)
CES5552229001,410.8(P)
CES5552229101,96.1(P)
CES5552229201,218.9(P)
CES5552229801,95.9(P)
CES5552230001,288.5(P)
CES5552231001,72.7(P)
CES5552232001,123.7(P)
CES5552239001,91.9(P)
CES5552300001,869.4(P)
CES5552312001,272.4(P)
CES5552320001,447.9(P)
CES5552390001,421.5(P)
CES5552391001,25.6(P)
CES5552392001,177.3(P)
CES5552393001,170.2(P)
CES5552399001,48.5(P)
CES5552400001,2398.8(P)
CES5552410001,1446.7(P)
CES5552411001,817.7(P)
CES5552411301,338.5(P)
CES5552411401,479.6(P)
CES5552412001,599.9(P)
CES5552412601,526.3(P)
CES5552412801,75.3(P)
CES5552413001,28.0(P)
CES5552420001,953.0(P)
CES5552421001,673.5(P)
CES5552429001,279.5(P)
CES5552429101,50.9(P)
CES5552429201,162.1(P)
CES5552429801,66.5(P)
